Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	mouse_number	primary_tumor_index	sequencing_type	tissue	tumor_index	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	sex	strain	treatment
WXS	202	SAMN07504042	SRX3094010	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-86,101bp PE"	10714	4229	SRR5933993	SRS2431334	HL-WES-86	Trp53+/+;Brca1+/+;	1400	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504041	SRX3094011	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-64,101bp PE"	8639	3866	SRR5933992	SRS2431335	HL-WES-64	Trp53flox/flox;Brca1+/+;	1400	1	WEX	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504044	SRX3094012	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL161,75bp PE"	7757	2807	SRR5933991	SRS2431336	HL161	Trp53flox/flox;Brca1+/+;	1400	1	RNAseq	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504043	SRX3094013	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL120,51bp PE"	5924	2070	SRR5933990	SRS2431337	HL120	Trp53flox/flox;Brca1+/+;	1400	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504197	SRX3094020	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL170,75bp PE"	6731	2380	SRR5933983	SRS2431344	HL170	Trp53flox/flox;Brca1+/+;	1957	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504155	SRX3094021	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL148,51bp PE"	5789	2099	SRR5933982	SRS2431345	HL148	Trp53flox/flox;Brca1flox/flox;	1662	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504156	SRX3094022	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-53,101bp PE"	7512	3394	SRR5933981	SRS2431346	HL-WES-53	Trp53flox/flox;Brca1flox/flox;	1673	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504063	SRX3094023	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-04,51bp PE"	6337	2666	SRR5933980	SRS2431347	HL-WES-04	Trp53flox/flox;Brca1flox/flox;	1460	1	WEX	primary	7	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504149	SRX3094026	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-09,51bp PE"	8319	3492	SRR5933977	SRS2431349	HL-WES-09	Trp53flox/flox;Brca1flox/flox;	1660	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504150	SRX3094027	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL76,51bp PE"	4393	3017	SRR5933976	SRS2431351	HL76	Trp53flox/flox;Brca1flox/flox;	1660	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504151	SRX3094028	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-10,51bp PE"	7322	3050	SRR5933975	SRS2431352	HL-WES-10	Trp53flox/flox;Brca1flox/flox;	1661	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504152	SRX3094029	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-16,51bp PE"	5774	2456	SRR5933974	SRS2431353	HL-WES-16	Trp53+/+;Brca1+/+;	1661	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504153	SRX3094030	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL77,51bp PE"	4796	3305	SRR5933973	SRS2431354	HL77	Trp53flox/flox;Brca1flox/flox;	1661	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504154	SRX3094031	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL104,51bp PE"	4215	2843	SRR5933972	SRS2431355	HL104	Trp53flox/flox;Brca1flox/flox;	1662	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503984	SRX3094032	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-59,101bp PE"	6446	2876	SRR5933971	SRS2431356	HL-WES-59	Trp53flox/flox;Brca1flox/flox;	650	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504198	SRX3094033	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-73,101bp PE"	6930	3141	SRR5933970	SRS2431357	HL-WES-73	Trp53flox/flox;Brca1+/+;	1973	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504055	SRX3094034	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL78,51bp PE"	5256	3612	SRR5933969	SRS2431358	HL78	Trp53flox/flox;Brca1flox/flox;	1415	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504056	SRX3094035	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-46,101bp PE"	9073	3860	SRR5933968	SRS2431360	HL-WES-46	Trp53flox/flox;Brca1flox/flox;	1433	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504053	SRX3094036	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-03,51bp PE"	6027	2486	SRR5933967	SRS2431359	HL-WES-03	Trp53flox/flox;Brca1flox/flox;	1415	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504054	SRX3094037	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-12,51bp PE"	5673	2442	SRR5933966	SRS2431361	HL-WES-12	Trp53+/+;Brca1+/+;	1415	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504051	SRX3094038	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-02,51bp PE"	6686	2747	SRR5933965	SRS2431362	HL-WES-02	Trp53flox/flox;Brca1flox/flox;	1413	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504052	SRX3094039	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL74,51bp PE"	4657	3166	SRR5933964	SRS2431363	HL74	Trp53flox/flox;Brca1flox/flox;	1413	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504049	SRX3094040	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-88,101bp PE"	8725	3389	SRR5933963	SRS2431364	HL-WES-88	Trp53+/+;Brca1+/+;	1412	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504050	SRX3094041	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL142,51bp PE"	6578	2361	SRR5933962	SRS2431365	HL142	Trp53flox/flox;Brca1flox/flox;	1412	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504047	SRX3094042	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL141,51bp PE"	5604	2031	SRR5933961	SRS2431366	HL141	Trp53flox/flox;Brca1flox/flox;	1411	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504048	SRX3094043	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-65,101bp PE"	7602	3400	SRR5933960	SRS2431367	HL-WES-65	Trp53flox/flox;Brca1flox/flox;	1412	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07503986	SRX3094044	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-58,101bp PE"	7966	3581	SRR5933959	SRS2431368	HL-WES-58	Trp53flox/flox;Brca1flox/flox;	666	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504142	SRX3094047	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL50,51bp PE"	4122	2699	SRR5933956	SRS2431370	HL50	Trp53flox/flox;Brca1flox/flox;	1616	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504141	SRX3094048	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-15,51bp PE"	5354	2302	SRR5933955	SRS2431372	HL-WES-15	Trp53+/+;Brca1+/+;	1616	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504140	SRX3094049	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-08,51bp PE"	7772	3237	SRR5933954	SRS2431373	HL-WES-08	Trp53flox/flox;Brca1flox/flox;	1616	1	WEX	primary	8	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504139	SRX3094050	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL79,51bp PE"	4598	3143	SRR5933953	SRS2431374	HL79	Trp53flox/flox;Brca1flox/flox;	1614	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504138	SRX3094051	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-07,51bp PE"	6826	2774	SRR5933952	SRS2431375	HL-WES-07	Trp53flox/flox;Brca1flox/flox;	1614	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504137	SRX3094052	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL130,51bp PE"	6016	2118	SRR5933951	SRS2431376	HL130	Trp53flox/flox;Brca1flox/flox;	1608	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504179	SRX3094055	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-55,101bp PE"	6990	3125	SRR5933948	SRS2431379	HL-WES-55	Trp53flox/flox;Brca1flox/flox;	1794	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503980	SRX3094056	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL107,51bp PE"	3676	2483	SRR5933947	SRS2431380	HL107	Trp53flox/flox;Brca1+/+;	517	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504177	SRX3094057	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL165,75bp PE"	7674	2737	SRR5933946	SRS2431382	HL165	Trp53flox/flox;Brca1+/+;	1783	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504215	SRX3094058	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-40,101bp PE"	9149	3853	SRR5933945	SRS2431381	HL-WES-40	Trp53+/+;Brca1+/+;	2453	-1	WEX	liver	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504178	SRX3094060	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL166,75bp PE"	8155	2886	SRR5933943	SRS2431384	HL166	Trp53flox/flox;Brca1+/+;	1783	2	RNAseq	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504020	SRX3094061	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-01,51bp PE"	5588	2299	SRR5933942	SRS2431385	HL-WES-01	Trp53flox/flox;Brca1flox/flox;	1367	1	WEX	primary	11	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504019	SRX3094062	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL140,51bp PE"	5102	1842	SRR5933941	SRS2431386	HL140	Trp53flox/flox;Brca1flox/flox;	1290	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504018	SRX3094063	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL119,51bp PE"	4722	1656	SRR5933940	SRS2431387	HL119	Trp53flox/flox;Brca1flox/flox;	1287	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504017	SRX3094064	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-44,101bp PE"	8952	3786	SRR5933939	SRS2431388	HL-WES-44	Trp53flox/flox;Brca1flox/flox;	1287	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504021	SRX3094068	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL40,51bp PE"	4191	2825	SRR5933935	SRS2431392	HL40	Trp53flox/flox;Brca1flox/flox;	1367	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503981	SRX3094069	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL136,51bp PE"	6048	2091	SRR5933934	SRS2431391	HL136	Trp53flox/flox;Brca1+/+;	517	2	RNAseq	primary	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07503982	SRX3094070	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL153,51bp PE"	6231	2211	SRR5933933	SRS2431395	HL153	Trp53flox/flox;Brca1+/+;	517	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504093	SRX3094075	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-21,101bp PE"	7618	3254	SRR5933928	SRS2431399	HL-WES-21	Trp53flox/flox;Brca1+/+;	1513	1	WEX	primary	12	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504094	SRX3094076	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-33,101bp PE"	9156	3955	SRR5933927	SRS2431401	HL-WES-33	Trp53+/+;Brca1+/+;	1513	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504091	SRX3094077	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL63,51bp PE"	3904	2550	SRR5933926	SRS2431400	HL63	Trp53flox/flox;Brca1+/+;	1512	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504092	SRX3094078	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL64,51bp PE"	3521	2288	SRR5933925	SRS2431402	HL64	Trp53flox/flox;Brca1+/+;	1512	1	RNAseq	implant	2	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504095	SRX3094079	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL08,51bp PE"	5166	3443	SRR5933924	SRS2431404	HL08	Trp53flox/flox;Brca1+/+;	1513	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504031	SRX3094084	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-19,101bp PE"	7960	3485	SRR5933919	SRS2431408	HL-WES-19	Trp53flox/flox;Brca1+/+;	1397	1	WEX	primary	8	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504032	SRX3094085	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-32,101bp PE"	8223	3466	SRR5933918	SRS2431410	HL-WES-32	Trp53+/+;Brca1+/+;	1397	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504033	SRX3094086	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL160,75bp PE"	6248	2270	SRR5933917	SRS2431409	HL160	Trp53flox/flox;Brca1+/+;	1397	1	RNAseq	primary	8	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504034	SRX3094087	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL23,51bp PE"	5096	3374	SRR5933916	SRS2431413	HL23	Trp53flox/flox;Brca1+/+;	1397	1	RNAseq	implant	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504208	SRX3094093	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-78,101bp PE"	8608	4012	SRR5933910	SRS2431418	HL-WES-78	Trp53flox/flox;Brca1+/+;	2080	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504207	SRX3094094	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL173,75bp PE"	8345	2904	SRR5933909	SRS2431417	HL173	Trp53flox/flox;Brca1+/+;	2032	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504078	SRX3094096	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-48,101bp PE"	8094	3453	SRR5933907	SRS2431420	HL-WES-48	Trp53flox/flox;Brca1flox/flox;	1507	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504077	SRX3094097	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL132,51bp PE"	6116	2141	SRR5933906	SRS2431421	HL132	Trp53flox/flox;Brca1flox/flox;	1494	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504080	SRX3094098	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL125,51bp PE"	6179	2168	SRR5933905	SRS2431422	HL125	Trp53flox/flox;Brca1flox/flox;	1507	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504079	SRX3094099	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-92,101bp PE"	8452	3216	SRR5933904	SRS2431424	HL-WES-92	Trp53+/+;Brca1+/+;	1507	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504082	SRX3094100	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-20,101bp PE"	9048	3905	SRR5933903	SRS2431423	HL-WES-20	Trp53flox/flox;Brca1+/+;	1512	1	WEX	primary	11	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504081	SRX3094101	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL144,51bp PE"	5208	1884	SRR5933902	SRS2431425	HL144	Trp53flox/flox;Brca1flox/flox;	1508	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504071	SRX3094106	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-13,51bp PE"	8895	3792	SRR5933897	SRS2431429	HL-WES-13	Trp53+/+;Brca1+/+;	1461	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	150	SAMN07504216	SRX3094108	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL116-2453,75bp PE"	18317	7896	SRR5933895	SRS2431432	HL116-2453	Trp53+/+;Brca1+/+;	2453	-1	RNAseq	normal breast	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
